@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
4488,'2018/02/13 20:11:58:464',18,0.507057,0.515571,0.6019,0.459716,0.522865,?
4489,'2018/02/13 20:11:58:482',18,0.507008,0.514966,0.601892,0.459716,0.522865,?
4490,'2018/02/13 20:11:58:484',18,0.506822,0.515029,0.601886,0.459716,0.522865,?
4491,'2018/02/13 20:11:58:512',18,0.506087,0.51537,0.601881,0.459716,0.522865,?
4492,'2018/02/13 20:11:58:531',18,0.505174,0.516238,0.602432,0.459716,0.522865,?
4493,'2018/02/13 20:11:58:549',18,0.505408,0.516687,0.602623,0.459716,0.522865,?
4494,'2018/02/13 20:11:58:555',18,0.505318,0.517068,0.603618,0.459716,0.522865,?
4495,'2018/02/13 20:11:58:573',18,0.505674,0.51797,0.604742,0.459716,0.522865,?
4496,'2018/02/13 20:11:58:576',18,0.506554,0.518736,0.606253,0.459716,0.522865,?
4497,'2018/02/13 20:11:58:595',18,0.50759,0.519099,0.608371,0.459716,0.522865,?
4498,'2018/02/13 20:11:58:595',18,0.509913,0.519407,0.610448,0.459716,0.522865,?
4499,'2018/02/13 20:11:58:613',18,0.512609,0.518803,0.611381,0.459716,0.522865,?
4500,'2018/02/13 20:11:58:615',18,0.514756,0.518579,0.610507,0.459716,0.522865,?
4501,'2018/02/13 20:11:58:634',18,0.516292,0.517811,0.608376,0.459716,0.522865,?
4502,'2018/02/13 20:11:58:637',18,0.516877,0.516582,0.607119,0.459716,0.522865,?
4503,'2018/02/13 20:11:58:657',18,0.516365,0.515249,0.606329,0.459716,0.522865,?
4504,'2018/02/13 20:11:58:658',18,0.515208,0.513827,0.60538,0.459716,0.522865,?
4505,'2018/02/13 20:11:58:679',18,0.514514,0.51233,0.604017,0.459716,0.522865,?
4506,'2018/02/13 20:11:58:687',18,0.513923,0.51048,0.602304,0.459716,0.522865,?
4507,'2018/02/13 20:11:58:699',18,0.512556,0.509197,0.600847,0.459716,0.522865,?
4508,'2018/02/13 20:11:58:707',18,0.511538,0.507817,0.599053,0.459716,0.522865,?
4509,'2018/02/13 20:11:58:724',18,0.51024,0.506068,0.597806,0.459716,0.522865,?
4510,'2018/02/13 20:11:58:763',18,0.509713,0.504581,0.596469,0.459716,0.522865,?
4511,'2018/02/13 20:11:58:768',18,0.509122,0.504182,0.595332,0.459716,0.522865,?
